medoid	cluster
402310.fasta	1
C992.fasta	2
ZH193.fasta	3
KTE28.fasta	4
AA86.fasta	5
EA37031.fasta	6
M858.fasta	7
EA31521.fasta	8
KTE84.fasta	9
TW07793.fasta	10
E78.fasta	11
EA34891.fasta	12
402981.fasta	13
302137.fasta	14
0870281.fasta	15
MP1.fasta	16
3331423.fasta	17
Tob1.fasta	18
EA32301.fasta	19
EA31601.fasta	20
ECONIH2.fasta	21
acolibu.fasta	22
ED1a.fasta	23
SM30083.fasta	24
2356805.fasta	25
3206106.fasta	26
KTE185.fasta	27
KTE47.fasta	28
NGF2.fasta	29
LF82.fasta	30
5985145.fasta	31
D8.fasta	32
oneDi14.fasta	33
EA36561.fasta	34
KTE98.fasta	35
UCI58.fasta	36
CE10.fasta	37
ECONIH1.fasta	38
SMS35.fasta	39
62D3.fasta	40
N346647.fasta	41
IDMC102.fasta	42
118317a.fasta	43
KTE78.fasta	44
ST2747c.fasta	45
GN02461.fasta	46
EC28941.fasta	47
C3936C1.fasta	48
PCN033.fasta	49
EC30204.fasta	50
upec154.fasta	51
KTE140.fasta	52
UMN026.fasta	53
C4.fasta	54
M114.fasta	55
36609PS.fasta	56
iacolim.fasta	57
1TaKaRa.fasta	58
acolick.fasta	59
KTE10.fasta	60
swine41.fasta	61
ST540a.fasta	62
H2.fasta	63
2989421.fasta	64
TCC8739.fasta	65
402286.fasta	66
DJA65pb.fasta	67
S1.fasta	68
07S1C2a.fasta	69
N026836.fasta	70
166.fasta	71
2719100.fasta	72
N346355.fasta	73
483.fasta	74
S30.fasta	75
FORC031.fasta	76
KTE103.fasta	77
SEC470.fasta	78
709.fasta	79
508.fasta	80
G213.fasta	81
Y5.fasta	82
EC590.fasta	83
03S3C2c.fasta	84
IH53473.fasta	85
KTE14.fasta	86
VR50.fasta	87
G27.fasta	88
32303.fasta	89
UMNF18.fasta	90
D9b.fasta	91
P12b.fasta	92
trW3110.fasta	93
swine49.fasta	94
TEC2797.fasta	95
603S3C1.fasta	96
S43.fasta	97
AD30.fasta	98
H7.fasta	99
655.fasta	100
UMNK88.fasta	101
66aEPEC.fasta	102
SLK172.fasta	103
116a.fasta	104
0215612.fasta	105
03S4C2c.fasta	106
706S3C3.fasta	107
DEC7B.fasta	108
BIDMC39.fasta	109
460858.fasta	110
AZ72.fasta	111
SCD1.fasta	112
14C3250.fasta	113
11C3609.fasta	114
12C4227.fasta	115
N004176.fasta	116
sheep31.fasta	117
D1.fasta	118
11368.fasta	119
33978PS.fasta	120
12009.fasta	121
11C3198.fasta	122
11C3317.fasta	123
acolibc.fasta	124
S40.fasta	125
943024.fasta	126
YD786.fasta	127
C8.fasta	128
D7.fasta	129
ECO37.fasta	130
S10.fasta	131
D6.fasta	132
RM9387.fasta	133
CP15655.fasta	134
H3.fasta	135
703420.fasta	136
3192644.fasta	137
3052931.fasta	138
M10.fasta	139
